plotID,Date,site,type,Borrelia burgdorferi sensu lato,Borrelia miyamotoi,diff
BLAN_005,2016-05-16,BLAN,1,0.217391304,0.086956522,0.130434783
BLAN_005,2017-06-19,BLAN,2,0.333333333,0.083333333,0.25
HARV_002,2018-08-27,HARV,2,0.5,0.5,0
HARV_004,2015-06-24,HARV,2,0.25,0.25,0
SCBI_013,2014-06-10,SCBI,2,0.020833333,0.020833333,0
SCBI_013,2014-07-02,SCBI,2,0.133333333,0.066666667,0.066666667
SCBI_013,2016-06-22,SCBI,2,0.166666667,0.033333333,0.133333333
SCBI_013,2018-05-29,SCBI,2,0.096774194,0.032258065,0.064516129
SERC_001,2018-05-21,SERC,2,0.027027027,0.027027027,0
SERC_002,2018-05-21,SERC,2,0.108108108,0.027027027,0.081081081
SERC_002,2018-07-02,SERC,2,0.051948052,0.025974026,0.025974026
SERC_005,2016-06-14,SERC,2,0.166666667,0.166666667,0
SERC_012,2017-06-06,SERC,2,0.071428571,0.071428571,0
SERC_023,2018-06-13,SERC,2,0.016949153,0.016949153,0
TREE_015,2016-06-08,TREE,2,0.333333333,0.333333333,0
TREE_017,2018-06-22,TREE,2,0.038461538,0.038461538,0
TREE_019,2017-07-24,TREE,2,0.625,0.125,0.5
TREE_022,2017-07-03,TREE,2,0.4,0.2,0.2